DATE,DOWNLOADS,Rating Count,Content rating,Ad Supported,Last Updated,Size,Minimum Android
2020-10-03,162596,1843,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-04,156800,1749,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-05,157742,1195,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-06,161105,1623,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-07,160552,1156,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-08,168008,1565,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-09,158216,1385,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-10,161871,545,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-11,158559,1700,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-12,168771,1408,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-13,160398,1533,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-14,166512,2271,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-15,159265,1561,EVERYONE,TRUE,2020-10-01,36.7,4.2
2020-10-16,157011,2202,EVERYONE,TRUE,2020-10-15,37.1,4.2
2020-10-17,159631,1283,EVERYONE,TRUE,2020-10-15,37.1,4.2
2020-10-18,170209,1805,EVERYONE,TRUE,2020-10-15,37.1,4.2
2020-10-19,157813,2045,EVERYONE,TRUE,2020-10-15,37.1,4.2
2020-10-20,156794,1346,EVERYONE,TRUE,2020-10-15,37.1,4.2
2020-10-21,160575,651,EVERYONE,TRUE,2020-10-15,37.1,4.2
2020-10-22,165118,1685,EVERYONE,TRUE,2020-10-21,37.1,4.2
2020-10-23,169366,12008,EVERYONE,TRUE,2020-10-21,37.1,4.2
2020-10-24,171559,12648,EVERYONE,TRUE,2020-10-21,37.1,4.2
2020-10-25,162601,21593,EVERYONE,TRUE,2020-10-21,37.1,4.2
2020-10-26,165280,7861,EVERYONE,TRUE,2020-10-21,37.1,4.2
2020-10-27,159411,15127,EVERYONE,TRUE,2020-10-21,37.1,4.2
2020-10-28,156281,11605,EVERYONE,TRUE,2020-10-27,37.1,4.2
2020-10-29,167990,10140,EVERYONE,TRUE,2020-10-27,37.1,4.2
2020-10-30,171668,10354,EVERYONE,TRUE,2020-10-27,37.1,4.2
2020-10-31,164351,13461,EVERYONE,TRUE,2020-10-30,37.1,4.2
2020-11-01,169939,5823,EVERYONE,TRUE,2020-10-30,37.1,4.2
